ligand,ligand_name,pred_dg,pred_dg_error
Nicotine,Nicotine,-10.48,0.08
Cytisine,Cytisine,-10.11,0.11
dummy,dummy,0.00,0.00
18-MC,18-MC,8.41,0.16
Epibatidine,Epibatidine,-14.37,0.10
SR-16584,SR-16584,-13.69,0.12
AT-1001,AT-1001,-19.96,0.11
