ligand,ligand_name,pred_dg,pred_dg_error
RTG-S1 from 7CR2 mod,RTG-S1,-12.57,0.08
Ebio1 from 8IJK,Ebio1,-11.94,0.08
Ebio1-S1 from 8X43,Ebio1-S1,-11.19,0.09
CBD from 8J03,CBD,unstable in binding site,
HN37 from 8W4U,HN37,-15.19,0.09
QO-83 from 8XO1,QO-83,-14.73,0.12
Ebio2 from 9IXY,Ebio2,-14.38,0.08
Ebio3 from 9IXZ,Ebio3,-11.66,0.12
