ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-12.82,0.08
RTG-S1 from 7CR2 mod,RTG-S1,-15.69,0.07
Ebio1 from 8IJK,Ebio1,-15.46,0.08
Ebio1-S1 from 8X43,Ebio1-S1,-12.94,0.11
CBD from 8J03,CBD,-11.78,0.07
HN37 from 8W4U,HN37,-18.53,0.08
QO-83 from 8XO1,QO-83,-17.32,0.09
Ebio2 from 9IXY,Ebio2,-18.16,0.08
Ebio3 from 9IXZ,Ebio3,-14.37,0.12
