ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-10.61,0.11
RTG-S1 from 7CR2 mod,RTG-S1,-12.45,0.10
Ebio1 from 8IJK,Ebio1,-10.75,0.12
Ebio1-S1 from 8X43,Ebio1-S1,-11.85,0.16
CBD from 8J03,CBD,unstable in binding site,
HN37 from 8W4U,HN37,-15.00,0.07
QO-83 from 8XO1,QO-83,-13.92,0.13
Ebio2 from 9IXY,Ebio2,-14.35,0.09
Ebio3 from 9IXZ,Ebio3,-12.96,0.10
