ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-9.78,0.07
RTG-S1 from 7CR2 mod,RTG-S1,-12.52,0.09
Ebio1 from 8IJK,Ebio1,-10.89,0.10
Ebio1-S1 from 8X43,Ebio1-S1,-10.52,0.11
CBD from 8J03,CBD,-9.36,0.12
HN37 from 8W4U,HN37,-16.22,0.10
QO-83 from 8XO1,QO-83,-12.69,0.10
Ebio2 from 9IXY,Ebio2,-14.14,0.09
Ebio3 from 9IXZ,Ebio3,-12.15,0.10
