ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-13.50,0.06
RTG-S1 from 7CR2 mod,RTG-S1,-16.85,0.08
Ebio1 from 8IJK,Ebio1,-15.61,0.07
Ebio1-S1 from 8X43,Ebio1-S1,-13.53,0.10
CBD from 8J03,CBD,-11.01,0.14
HN37 from 8W4U,HN37,-17.57,0.09
QO-83 from 8XO1,QO-83,-17.22,0.10
Ebio2 from 9IXY,Ebio2,-18.95,0.10
Ebio3 from 9IXZ,Ebio3,-15.87,0.11
