ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-14.23,0.08
RTG-S1 from 7CR2 mod,RTG-S1,-16.84,0.08
Ebio1 from 8IJK,Ebio1,-15.12,0.07
Ebio1-S1 from 8X43,Ebio1-S1,-13.16,0.07
CBD from 8J03,CBD,-11.97,0.10
HN37 from 8W4U,HN37,-18.62,0.10
QO-83 from 8XO1,QO-83,-16.11,0.10
Ebio2 from 9IXY,Ebio2,-18.14,0.08
Ebio3 from 9IXZ,Ebio3,-14.36,0.11
