ligand,ligand_name,pred_dg,pred_dg_error
RTG from 7CR2,RTG,-11.78,0.06
RTG-S1 from 7CR2 mod,RTG-S1,-13.52,0.06
Ebio1 from 8IJK,Ebio1,-11.53,0.08
Ebio1-S1 from 8X43,Ebio1-S1,-9.43,0.07
CBD from 8J03,CBD,-11.98,0.26
HN37 from 8W4U,HN37,-14.13,0.08
QO-83 from 8XO1,QO-83,-14.73,0.09
Ebio2 from 9IXY,Ebio2,-15.88,0.06
Ebio3 from 9IXZ,Ebio3,-13.48,0.11
